abrasive cleaner,artif. sweetener,baby cosmetics,bags,baking powder,bathroom cleaner,beef,berries,beverages,bottled beer,bottled water,brandy,brown bread,butter,butter milk,cake bar,candles,candy,canned beer,canned fish,canned fruit,canned vegetables,cat food,cereals,chewing gum,chicken,chocolate,chocolate marshmallow,citrus fruit,cleaner,cling film/bags,cocoa drinks,coffee,condensed milk,cooking chocolate,cookware,cream,cream cheese,curd,curd cheese,decalcifier,dental care,dessert,detergent,dish cleaner,dishes,dog food,domestic eggs,female sanitary products,finished products,fish,flour,flower (seeds),flower soil/fertilizer,frankfurter,frozen chicken,frozen dessert,frozen fish,frozen fruits,frozen meals,frozen potato products,frozen vegetables,fruit/vegetable juice,grapes,hair spray,ham,hamburger meat,hard cheese,herbs,honey,house keeping products,hygiene articles,ice cream,instant coffee,instant food products,jam,ketchup,kitchen towels,kitchen utensil,light bulbs,liqueur,liquor,liquor (appetizer),liver loaf,long life bakery product,make up remover,male cosmetics,margarine,mayonnaise,meat,meat spreads,misc. beverages,mustard,napkins,newspapers,nut snack,nuts/prunes,oil,onions,organic products,organic sausage,other vegetables,packaged fruit/vegetables,pasta,pastry,pet care,photo/film,pickled vegetables,pip fruit,popcorn,pork,pot plants,potato products,preservation products,processed cheese,prosecco,pudding powder,ready soups,red/blush wine,rice,roll products,rolls/buns,root vegetables,rubbing alcohol,rum,salad dressing,salt,salty snack,sauces,sausage,seasonal products,semi-finished bread,shopping bags,skin care,sliced cheese,snack products,soap,soda,soft cheese,softener,soups,sparkling wine,specialty bar,specialty cheese,specialty chocolate,specialty fat,specialty vegetables,spices,spread cheese,sugar,sweet spreads,syrup,tea,tidbits,toilet cleaner,tropical fruit,turkey,uht-milk,vinegar,waffles,whipped/sour cream,whisky,white bread,white wine,whole milk,yogurt,zwieback
,,,,,,,,,bottled beer,,,,,,,,candy,,,,,,,,,,,citrus fruit,,,,,,,,,,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whipped/sour cream,,white bread,,,,
,,,,,,beef,,,,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organic products,,other vegetables,,,pastry,,,,,,,pot plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white bread,,whole milk,,
,,,,,,,,,,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,frozen vegetables,,,,,,hard cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,specialty chocolate,specialty fat,,,,,,,,,,,,,,,,,,,,yogurt,
,,,,,,,,,,,,,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frozen meals,,,,,,,,,,,,,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seasonal products,,,,,,,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,yogurt,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,pip fruit,,,,,,,,,,,,,,,,,,,,,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,bottled beer,,,,,,,,,,,,,,,,,,chocolate marshmallow,,cleaner,,,,,,,,,,,,,,,,,,domestic eggs,,,,,,,,,,,,,,frozen vegetables,,,,,,,,,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other vegetables,,,pastry,,,pickled vegetables,,,,,,,,,,,,,,,,,,,,salty snack,,,,semi-finished bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole milk,,
,,,,,,,,,,,,brown bread,,,,,,canned beer,,,,,,,,,,citrus fruit,,,,,,,,cream,,,,,,,,,,,,,,,,,,frankfurter,,,,,,,frozen vegetables,,grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red/blush wine,,,,,,,,,,,sausage,,,,,,,,soda,,,,,,,,,,,,,,,,,,,,,,,whipped/sour cream,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping bags,,,,,,,,,,,,,,,,,sugar,,,,,,,,,,,,,,,,yogurt,
,,,,baking powder,,beef,,,,,,,butter,butter milk,,,candy,,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hamburger meat,,,,,,ice cream,,,,,,,,,,,,,,,,,,,,mustard,,,,,,,,,,,,,,,,pip fruit,,,,,,,,,,red/blush wine,,,rolls/buns,,,,,,,,,,,shopping bags,,,,,,soft cheese,,,,,,,,,,,,,,,,,,,,,,,,,,whole milk,,
